CloseDate,ClosePrice_x,Latitude,Longitude,UnparsedAddress_x,PropertyType,LivingArea,CountyOrParish,ParkingTotal,PropertySubType,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,BedroomsTotal,StateOrProvince,GarageSpaces,HighSchoolDistrict,PostalCode,LotSizeSquareFeet,ViewYN_False,ViewYN_Missing,ViewYN_True,WaterfrontYN_Missing,WaterfrontYN_True,BasementYN_Missing,BasementYN_True,PoolPrivateYN_False,PoolPrivateYN_Missing,PoolPrivateYN_True,AttachedGarageYN_False,AttachedGarageYN_Missing,AttachedGarageYN_True,FireplaceYN_False,FireplaceYN_Missing,FireplaceYN_True,NewConstructionYN_False,NewConstructionYN_Missing,NewConstructionYN_True,LocationCluster,Levels_Clean,Flooring_Simplified,LotPerLivingArea,HasGarage,Has_Fireplace,Is_New,closest_city,distance_to_downtown,TotalRooms,GarageSpaces_Per_LivingArea,LargeLivingArea_With_EnoughRoom,ExpensiveCity,FamousCity_With_LargeHouse,UnparsedAddress_y,ClosePrice_y
2024-06-24,1950000.0,33.6971358,-118.0181412,18282 FIELDBURY Lane,Residential,2474.0,Orange,3.0,SingleFamilyResidence,1980.0,18282.0,OC24107435,3.0,Huntington Beach,4.0,CA,3.0,Huntington Beach Union High,92648,6000.0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0.0,2.0,"Carpet,Vinyl",2.4252223120452707,1,1,0,Los Angeles,44.6363051818945,7.0,0.0012126111560226,1,0,0,18282 FIELDBURY Lane,1950000.0
2024-06-17,790000.0,34.263796,-119.210757,1241 Snipe Avenue,Residential,1254.0,Ventura,2.0,SingleFamilyResidence,1976.0,1241.0,V1-23802,2.0,Ventura,3.0,CA,2.0,Missing,93003,3700.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,6.0,1.0,Unknown,2.9505582137161084,1,1,0,Los Angeles,92.03945397540956,5.0,0.0015948963317384,0,0,0,1241 Snipe Avenue,790000.0
2024-06-20,1200000.0,33.910088,-117.9183642,719 E Hermosa Drive,Residential,1950.0,Orange,6.0,SingleFamilyResidence,1957.0,719.0,DW24109113,2.0,Fullerton,3.0,CA,2.0,Fullerton Joint Union High,92835,9460.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.0,1.0,"Laminate,Tile,Wood",4.851282051282051,1,1,0,Los Angeles,33.905240330646635,5.0,0.001025641025641,0,0,0,719 E Hermosa Drive,1200000.0
2024-06-20,750000.0,33.2625606,-117.2992335,666 Michael St,Residential,1192.0,San Diego,4.0,SingleFamilyResidence,1968.0,666.0,240012059SD,2.0,Oceanside,3.0,CA,2.0,Missing,92057,7233.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,2.0,1.0,Tile,6.067953020134228,1,1,0,San Diego,62.15791078011943,5.0,0.0016778523489932,0,0,0,666 Michael St,750000.0
2024-06-27,570000.0,34.151786,-117.2323778,5624 Belvedere Avenue,Residential,1683.0,San Bernardino,2.0,SingleFamilyResidence,1963.0,5624.0,CV24109071,2.0,Highland,3.0,CA,2.0,San Bernardino City Unified,92346,9030.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,7.0,1.0,Vinyl,5.365418894830659,1,1,0,Los Angeles,93.77213362816028,5.0,0.0011883541295306,0,0,0,5624 Belvedere Avenue,570000.0
2024-06-18,1200000.0,34.0246191,-117.8446867,21022 Northview Drive,Residential,1811.0,Los Angeles,3.0,SingleFamilyResidence,1987.0,21022.0,WS24108164,3.0,Walnut,3.0,CA,3.0,Walnut Valley Unified,91789,11065.0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.0,2.0,"Laminate,Tile",6.109884041965765,1,1,0,Los Angeles,36.8939745178953,6.0,0.0016565433462175,0,0,0,21022 Northview Drive,1200000.0
2024-06-28,635000.0,35.0339404,-120.4922346,766 Viola Court,Residential,1406.0,San Luis Obispo,2.0,SingleFamilyResidence,2001.0,766.0,PI24109094,2.0,Nipomo,2.0,CA,2.0,Lucia Mar Unified,93444,6250.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,5.0,1.0,Unknown,4.445234708392603,1,1,0,Fresno,199.82464482218467,4.0,0.0014224751066856,0,0,0,766 Viola Court,635000.0
2024-06-28,850000.0,35.3206103,-120.8434053,1695 Broderson Avenue,Residential,1176.0,San Luis Obispo,2.0,SingleFamilyResidence,1978.0,1695.0,SC24107908,3.0,Los Osos,2.0,CA,1.0,San Luis Coastal Unified,93402,3920.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,5.0,2.0,"Carpet,Tile",3.333333333333333,1,1,0,Fresno,183.99552954533527,5.0,0.0008503401360544,0,0,0,1695 Broderson Avenue,850000.0
2024-06-27,1025000.0,33.761938,-118.0200807,13781 Ida Way,Residential,1407.0,Orange,2.0,SingleFamilyResidence,1958.0,13781.0,PW24109084,2.0,Westminster,3.0,CA,2.0,Huntington Beach Union High,92683,7200.0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0.0,1.0,"Carpet,Laminate",5.11727078891258,1,0,0,Los Angeles,38.30919408362831,5.0,0.0014214641080312,0,0,0,13781 Ida Way,1025000.0
2024-06-11,440000.0,33.8062038,-118.2607184,767 E Realty Street,Residential,752.0,Los Angeles,0.0,SingleFamilyResidence,1950.0,767.0,SW24109059,1.0,Carson,2.0,CA,0.0,Los Angeles Unified,90745,4570.0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.0,1.0,Unknown,6.077127659574468,0,0,0,Los Angeles,27.398556781015785,3.0,0.0,0,0,0,767 E Realty Street,440000.0
2024-06-17,1095000.0,33.8349538,-118.3361552,1308 Teri Avenue,Residential,1526.0,Los Angeles,2.0,SingleFamilyResidence,1951.0,1308.0,SB24101421,2.0,Torrance,3.0,CA,2.0,Torrance Unified,90503,5993.0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0.0,1.0,"Carpet,Vinyl,Wood",3.927260812581913,1,1,0,Los Angeles,25.61800315949916,5.0,0.001310615989515,0,0,0,1308 Teri Avenue,1095000.0
2024-06-26,885000.0,34.1249227,-117.8593431,428 E Mauna Loa Ave,Residential,1289.0,Los Angeles,2.0,SingleFamilyResidence,1957.0,428.0,CV24107779,2.0,Glendora,4.0,CA,2.0,Glendora Unified,91740,7652.0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0.0,1.0,Laminate,5.936384794414274,1,0,0,Los Angeles,36.30681429229528,6.0,0.0015515903801396,0,0,0,428 E Mauna Loa Ave,885000.0
2024-06-25,1380000.0,33.5902404,-117.6230112,12 Sunny Slope,Residential,1799.0,Orange,2.0,SingleFamilyResidence,1997.0,12.0,OC24107945,3.0,Rancho Santa Margarita,4.0,CA,2.0,Capistrano Unified,92688,4359.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.0,2.0,Laminate,2.423012784880489,1,1,0,Los Angeles,76.98210335288347,7.0,0.0011117287381878,0,0,0,12 Sunny Slope,1380000.0
2024-06-28,660000.0,38.0281498,-121.9129141,1086 Mayport Dr,Residential,1865.0,Contra Costa,2.0,SingleFamilyResidence,2001.0,1086.0,41061372,3.0,Pittsburg,4.0,CA,2.0,Missing,94565,3430.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,8.0,2.0,"Carpet,Vinyl",1.839142091152815,1,1,0,San Francisco,52.61010289144812,7.0,0.0010723860589812,0,0,0,1086 Mayport Dr,660000.0
2024-06-28,1140000.0,37.7168516,-121.7407129,4734 Scenic Ave,Residential,1409.0,Alameda,1.0,SingleFamilyResidence,1984.0,4734.0,41061371,2.0,Livermore,4.0,CA,1.0,Missing,94551,7500.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,8.0,1.0,"Laminate,Tile",5.322924059616749,1,1,0,San Jose,44.01799378404378,6.0,0.0007097232079489,0,0,0,4734 Scenic Ave,1140000.0
2024-06-28,2550000.0,33.473936,-117.7164476,23671 Sidney Bay,Residential,1582.0,Orange,3.0,SingleFamilyResidence,1971.0,23671.0,LG24105592,2.0,Dana Point,3.0,CA,2.0,Capistrano Unified,92629,4050.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0.0,1.0,"Laminate,Stone,Tile",2.5600505689001265,1,1,0,Los Angeles,80.68462318033245,5.0,0.0012642225031605,0,1,0,23671 Sidney Bay,2550000.0
2024-06-24,1250000.0,37.7143525,-122.0947473,3510 Northwood Dr,Residential,1714.0,Alameda,2.0,SingleFamilyResidence,1953.0,3510.0,41061369,3.0,Castro Valley,3.0,CA,2.0,Castro Valley,94546,6200.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,8.0,2.0,"Carpet,Tile,Vinyl",3.617269544924154,1,1,0,San Francisco,29.32893932891413,6.0,0.0011668611435239,0,0,0,3510 Northwood Dr,1250000.0
